# IR, RED, Heart Rate, Resoiration Rate, SPO2
230433.00,217001.00,61.22,17.05,99.40
230510.00,217054.00,61.22,17.05,99.40
230596.00,217120.00,61.22,17.05,99.40
230582.00,217085.00,61.22,17.05,99.40
230674.00,217059.00,61.22,17.05,0.00
230640.00,217133.00,61.22,17.05,99.66
230496.00,217069.00,61.22,17.05,99.66
230183.00,216941.00,61.22,17.05,99.66
229955.00,216934.00,61.22,17.05,99.66
229725.00,216828.00,61.22,17.05,99.66
229380.00,216694.00,61.22,17.05,99.66
229262.00,216707.00,61.22,17.05,99.66
229105.00,216622.00,61.22,17.05,99.66
228848.00,216545.00,61.22,17.05,99.66
228758.00,216554.00,61.22,17.05,99.66
228644.00,216483.00,61.22,17.05,99.66
228569.00,216418.00,61.22,17.05,99.66
228467.00,216493.00,61.22,17.05,99.66
228536.00,216463.00,61.22,17.05,99.66
228572.00,216516.00,61.22,17.05,99.66
228617.00,216468.00,61.22,17.05,99.66
228629.00,216537.00,61.22,17.05,99.66
228636.00,216459.00,61.22,17.05,99.66
228627.00,216564.00,61.22,17.05,99.66
228645.00,216487.00,61.22,17.05,99.66
228615.00,216578.00,61.22,17.05,99.66
228722.00,216477.00,61.22,17.05,99.66
228721.00,216618.00,61.22,17.05,99.66
228764.00,216610.00,61.22,17.05,99.66
228772.00,216603.00,61.22,17.05,99.66
228866.00,216811.00,61.22,17.05,99.66
228945.00,216599.00,61.22,17.05,99.66
228990.00,216784.00,61.22,17.05,99.66
229067.00,216666.00,61.22,17.05,99.66
229088.00,216738.00,61.22,17.05,99.66
229160.00,216799.00,0.00,17.05,99.66
229233.00,216710.00,61.22,17.05,99.66
229253.00,216859.00,61.22,17.05,99.66
229285.00,216805.00,61.22,17.05,99.66
229465.00,216836.00,61.22,17.05,99.66
229397.00,216960.00,61.22,17.05,99.66
229485.00,216878.00,61.22,17.05,99.66
229665.00,216839.00,61.22,17.05,99.66
229635.00,217059.00,61.22,17.05,99.66
229719.00,216887.00,61.22,17.05,99.66
229880.00,216946.00,61.22,17.05,99.66
229786.00,217124.00,61.22,17.05,99.66
229907.00,217029.00,61.22,17.05,99.66
230051.00,217007.00,61.22,17.05,99.66
230013.00,217172.00,61.22,17.05,99.66
230095.00,217039.00,61.22,17.05,99.66
230263.00,217067.00,61.22,17.05,99.66
230205.00,217247.00,61.22,17.05,99.66
230279.00,217125.00,61.22,17.05,99.66
230394.00,217164.00,61.22,17.05,0.00
230372.00,217255.00,61.22,17.05,99.39
230188.00,217136.00,61.22,17.05,99.39
230011.00,217129.00,61.22,17.05,99.39
229743.00,217057.00,61.22,17.05,99.39
229381.00,216915.00,61.22,17.05,99.39
229237.00,216876.00,61.22,17.05,99.39
228961.00,216835.00,61.22,17.05,99.39
228834.00,216699.00,61.22,17.05,99.39
228731.00,216675.00,61.22,17.05,99.39
228556.00,216716.00,61.22,17.05,99.39
228347.00,216580.00,61.22,17.05,99.39
228347.00,216550.00,61.22,17.05,99.39
228318.00,216612.00,61.22,17.05,99.39
228344.00,216506.00,61.22,17.05,99.39
228358.00,216637.00,61.22,17.05,99.39
228404.00,216563.00,61.22,17.05,99.39
228406.00,216665.00,61.22,17.05,99.39
228436.00,216569.00,61.22,17.05,99.39
228407.00,216673.00,61.22,17.05,99.39
228433.00,216570.00,61.22,17.05,99.39
228461.00,216669.00,61.22,17.05,99.39
228471.00,216613.00,61.22,17.05,99.39
228562.00,216683.00,61.22,17.05,99.39
228596.00,216624.00,61.22,17.05,99.39
228662.00,216719.00,61.22,17.05,99.39
228655.00,216778.00,61.22,17.05,99.39
228862.00,216667.00,61.22,17.05,99.39
228801.00,216893.00,61.22,17.05,99.39
228860.00,216741.00,61.22,17.05,99.39
228940.00,216841.00,0.00,17.05,99.39
228981.00,216813.00,62.50,17.05,99.39
229177.00,216831.00,62.50,17.05,99.39
229095.00,217004.00,62.50,17.05,99.39
229190.00,216891.00,62.50,17.05,99.39
229179.00,216899.00,62.50,17.05,99.39
229288.00,216956.00,62.50,17.05,99.39
229338.00,216910.00,62.50,17.05,99.39
229405.00,216965.00,62.50,17.05,99.39
229464.00,217014.00,62.50,17.05,99.39
229565.00,216948.00,62.50,17.05,99.39
229590.00,217030.00,62.50,17.05,99.39
229660.00,217113.00,62.50,17.05,99.39
229737.00,217003.00,62.50,17.05,99.39
229757.00,217086.00,62.50,17.05,99.39
229884.00,217192.00,62.50,17.05,99.39
229979.00,217092.00,62.50,17.05,99.39
229964.00,217173.00,62.50,17.05,99.39
230086.00,217299.00,62.50,17.05,0.00
230081.00,217138.00,62.50,17.05,99.58
229972.00,217189.00,62.50,17.05,99.58
229715.00,217271.00,62.50,17.05,99.58
229480.00,217062.00,62.50,17.05,99.58
229328.00,216936.00,62.50,17.05,99.58
228941.00,217012.00,62.50,17.05,99.58
228755.00,216823.00,62.50,17.05,99.58
228584.00,216732.00,62.50,17.05,99.58
228414.00,216855.00,62.50,17.05,99.58
228307.00,216640.00,62.50,17.05,99.58
228291.00,216606.00,62.50,17.05,99.58
228070.00,216738.00,62.50,17.05,99.58
228087.00,216591.00,62.50,17.05,99.58
228090.00,216632.00,62.50,17.05,99.58
228166.00,216625.00,62.50,17.05,99.58
228208.00,216673.00,62.50,17.05,99.58
228232.00,216599.00,62.50,17.05,99.58
228238.00,216668.00,62.50,17.05,99.58
228275.00,216652.00,62.50,17.05,99.58
228259.00,216695.00,62.50,17.05,99.58
228253.00,216639.00,62.50,17.05,99.58
228317.00,216721.00,62.50,17.05,99.58
228341.00,216687.00,62.50,17.05,99.58
228367.00,216743.00,62.50,17.05,99.58
228418.00,216854.00,62.50,17.05,99.58
228588.00,216682.00,62.50,17.05,99.58
228570.00,216915.00,62.50,17.05,99.58
228569.00,216803.00,62.50,17.05,99.58
228698.00,216876.00,62.50,17.05,99.58
228707.00,216847.00,0.00,17.05,99.58
228899.00,216862.00,61.22,17.05,99.58
228843.00,217043.00,61.22,17.05,99.58
228940.00,216898.00,61.22,17.05,99.58
228916.00,216925.00,61.22,17.05,99.58
229007.00,217052.00,61.22,17.05,99.58
229106.00,216913.00,61.22,17.05,99.58
229067.00,216981.00,61.22,17.05,99.58
229203.00,217126.00,61.22,17.05,99.58
229297.00,216952.00,61.22,17.05,99.58
229269.00,217048.00,61.22,17.05,99.58
229393.00,217157.00,61.22,17.05,99.58
229465.00,217004.00,61.22,17.05,99.58
229506.00,217100.00,61.22,17.05,99.58
229607.00,217281.00,61.22,17.05,99.58
229653.00,217160.00,61.22,17.05,99.58
229854.00,217172.00,61.22,17.05,99.58
229793.00,217334.00,61.22,17.05,99.58
229859.00,217222.00,61.22,17.05,99.58
229903.00,217224.00,61.22,17.05,0.00
229896.00,217375.00,61.22,17.05,99.60
229731.00,217166.00,61.22,17.05,99.60
229577.00,217123.00,61.22,17.05,99.60
229128.00,217193.00,61.22,0.00,99.60
228879.00,216970.00,61.22,9.80,99.60
228750.00,216860.00,61.22,9.80,99.60
228399.00,216946.00,61.22,9.80,99.60
228265.00,216774.00,61.22,9.80,99.60
228232.00,216671.00,61.22,9.80,99.60
227915.00,216783.00,61.22,9.80,99.60
227818.00,216623.00,61.22,9.80,99.60
227810.00,216555.00,61.22,9.80,99.60
227691.00,216660.00,61.22,9.80,99.60
227799.00,216483.00,61.22,9.80,99.60
227751.00,216705.00,61.22,9.80,99.60
227854.00,216494.00,61.22,9.80,99.60
227793.00,216723.00,61.22,9.80,99.60
227862.00,216535.00,61.22,9.80,99.60
227840.00,216711.00,61.22,9.80,99.60
227890.00,216560.00,61.22,9.80,99.60
227857.00,216729.00,61.22,9.80,99.60
227927.00,216617.00,61.22,9.80,99.60
227921.00,216718.00,61.22,9.80,99.60
227974.00,216653.00,61.22,9.80,99.60
228046.00,216718.00,61.22,9.80,99.60
228082.00,216672.00,61.22,9.80,99.60
228130.00,216750.00,61.22,9.80,99.60
228123.00,216844.00,61.22,9.80,99.60
228363.00,216706.00,61.22,9.80,99.60
228328.00,216930.00,0.00,9.80,99.60
228410.00,216785.00,61.22,9.80,99.60
228448.00,216861.00,61.22,9.80,99.60
228520.00,216902.00,61.22,9.80,99.60
228564.00,216872.00,61.22,9.80,99.60
228664.00,216960.00,61.22,9.80,99.60
228643.00,216942.00,61.22,9.80,99.60
228800.00,216996.00,61.22,9.80,99.60
228775.00,217046.00,61.22,9.80,99.60
228921.00,217045.00,61.22,9.80,99.60
229044.00,217006.00,61.22,9.80,99.60
228999.00,217155.00,61.22,9.80,99.60
229127.00,217094.00,61.22,9.80,99.60
229291.00,217052.00,61.22,9.80,99.60
229261.00,217218.00,61.22,9.80,99.60
229313.00,217138.00,61.22,9.80,99.60
229492.00,217101.00,61.22,9.80,99.60
229480.00,217291.00,61.22,9.80,99.60
229587.00,217103.00,61.22,9.80,99.60
229586.00,217218.00,61.22,9.80,99.60
229632.00,217326.00,61.22,9.80,0.00
229566.00,217154.00,61.22,9.80,99.91
229338.00,217158.00,61.22,9.80,99.91
229155.00,217117.00,61.22,9.80,99.91
228874.00,216943.00,61.22,9.80,99.91
228713.00,216955.00,61.22,9.80,99.91
228518.00,216904.00,61.22,9.80,99.91
228370.00,216778.00,61.22,9.80,99.91
228285.00,216805.00,61.22,9.80,99.91
228115.00,216749.00,61.22,9.80,99.91
228064.00,216679.00,61.22,9.80,99.91
228008.00,216721.00,61.22,9.80,99.91
227984.00,216583.00,61.22,9.80,99.91
228021.00,216671.00,61.22,9.80,99.91
228076.00,216572.00,61.22,9.80,99.91
228118.00,216705.00,61.22,9.80,99.91
228136.00,216579.00,61.22,9.80,99.91
228159.00,216717.00,61.22,9.80,99.91
228148.00,216584.00,61.22,9.80,99.91
228188.00,216711.00,61.22,9.80,99.91
228226.00,216590.00,61.22,9.80,99.91
228216.00,216710.00,61.22,9.80,99.91
228237.00,216755.00,61.22,9.80,99.91
228464.00,216712.00,61.22,9.80,99.91
228387.00,216876.00,61.22,9.80,99.91
228435.00,216727.00,61.22,9.80,99.91
228466.00,216812.00,61.22,9.80,99.91
228540.00,216790.00,61.22,9.80,99.91
228629.00,216825.00,61.22,9.80,99.91
228636.00,216810.00,0.00,9.80,99.91
228869.00,216787.00,61.22,9.80,99.91
228826.00,216996.00,61.22,9.80,99.91
228913.00,216859.00,61.22,9.80,99.91
228934.00,216886.00,61.22,9.80,99.91
229007.00,216964.00,61.22,9.80,99.91
229018.00,216956.00,61.22,9.80,99.91
229122.00,216968.00,61.22,9.80,99.91
229210.00,216991.00,61.22,9.80,99.91
229226.00,216951.00,61.22,9.80,99.91
229338.00,217040.00,61.22,9.80,99.91
229437.00,217051.00,61.22,9.80,99.91
229482.00,217007.00,61.22,9.80,99.91
229526.00,217105.00,61.22,9.80,99.91
229605.00,217112.00,61.22,9.80,99.91
229617.00,217068.00,61.22,9.80,99.91
229737.00,217168.00,61.22,9.80,99.91
229815.00,217194.00,61.22,9.80,99.91
229899.00,217144.00,61.22,9.80,99.91
229905.00,217204.00,61.22,9.80,99.91
229986.00,217335.00,61.22,9.80,99.91
230006.00,217133.00,61.22,9.80,0.00
229828.00,217200.00,61.22,9.80,99.42
229659.00,217239.00,61.22,9.80,99.42
229492.00,217041.00,61.22,9.80,99.42
229248.00,217013.00,61.22,9.80,99.42
229156.00,217098.00,61.22,9.80,99.42
229046.00,216890.00,61.22,9.80,99.42
229033.00,216864.00,61.22,9.80,99.42
228808.00,216984.00,61.22,9.80,99.42
228733.00,216834.00,61.22,9.80,99.42
228781.00,216745.00,61.22,9.80,99.42
228627.00,216910.00,61.22,9.80,99.42
228734.00,216654.00,61.22,9.80,99.42
228691.00,216906.00,61.22,9.80,99.42
228833.00,216627.00,61.22,9.80,99.42
228768.00,216945.00,61.22,9.80,99.42
228869.00,216684.00,61.22,9.80,99.42
228776.00,216968.00,61.22,9.80,99.42
228896.00,216666.00,61.22,9.80,99.42
228806.00,216939.00,61.22,9.80,99.42
228943.00,216700.00,61.22,9.80,99.42
228877.00,216915.00,61.22,9.80,99.42
228910.00,216765.00,61.22,9.80,99.42
228913.00,216884.00,61.22,9.80,99.42
229023.00,216828.00,61.22,9.80,99.42
229046.00,216886.00,61.22,9.80,99.42
229099.00,216832.00,61.22,9.80,99.42
229112.00,216885.00,61.22,9.80,99.42
229216.00,216989.00,0.00,9.80,99.42
229224.00,216883.00,60.00,9.80,99.42
229322.00,216958.00,60.00,9.80,99.42
229356.00,216919.00,60.00,9.80,99.42
229418.00,216944.00,60.00,9.80,99.42
229489.00,217109.00,60.00,9.80,99.42
229542.00,216897.00,60.00,9.80,99.42
229592.00,216993.00,60.00,9.80,99.42
229655.00,217184.00,60.00,9.80,99.42
229731.00,216995.00,60.00,9.80,99.42
229752.00,217067.00,60.00,9.80,99.42
229839.00,217234.00,60.00,9.80,99.42
229933.00,217030.00,60.00,9.80,99.42
229891.00,217132.00,60.00,9.80,99.42
229998.00,217301.00,60.00,9.80,99.42
230078.00,217137.00,60.00,9.80,99.42
230243.00,217188.00,60.00,9.80,99.42
230209.00,217346.00,60.00,9.80,99.42
230295.00,217132.00,60.00,9.80,99.42
230239.00,217260.00,60.00,9.80,99.42
230356.00,217383.00,60.00,9.80,0.00
230332.00,217203.00,60.00,9.80,99.95
230099.00,217225.00,60.00,9.80,99.95
229983.00,217297.00,60.00,9.80,99.95
229812.00,217064.00,60.00,9.80,99.95
229599.00,217040.00,60.00,9.80,99.95
229515.00,217098.00,60.00,9.80,99.95
229358.00,216896.00,60.00,9.80,99.95
229274.00,216934.00,60.00,9.80,99.95
229207.00,216928.00,60.00,9.80,99.95
229058.00,216806.00,60.00,9.80,99.95
229023.00,216864.00,60.00,9.80,99.95
229002.00,216797.00,60.00,9.80,99.95
229031.00,216809.00,60.00,9.80,99.95
229067.00,216791.00,60.00,9.80,99.95
229087.00,216837.00,60.00,9.80,99.95
229114.00,216846.00,60.00,9.80,99.95
229099.00,216843.00,60.00,9.80,99.95
229114.00,216819.00,60.00,9.80,99.95
229106.00,216821.00,60.00,9.80,99.95
229122.00,216848.00,60.00,9.80,99.95
229089.00,216831.00,60.00,9.80,99.95
229215.00,216980.00,60.00,9.80,99.95
229262.00,216792.00,60.00,9.80,99.95
229258.00,216946.00,60.00,9.80,99.95
229294.00,216846.00,60.00,9.80,99.95
229303.00,216915.00,60.00,9.80,99.95
229396.00,216844.00,60.00,9.80,99.95
229421.00,216898.00,60.00,9.80,99.95
229485.00,216998.00,60.00,9.80,99.95
229565.00,216897.00,0.00,9.80,99.95
229553.00,217069.00,62.50,9.80,99.95
229601.00,216857.00,62.50,9.80,99.95
229653.00,216950.00,62.50,9.80,99.95
229683.00,217104.00,62.50,9.80,99.95
229763.00,216903.00,62.50,9.80,99.95
229754.00,216984.00,62.50,9.80,99.95
229827.00,217164.00,62.50,9.80,99.95
229910.00,216959.00,62.50,9.80,99.95
229901.00,217061.00,62.50,9.80,99.95
229981.00,217215.00,62.50,9.80,99.95
230058.00,217057.00,62.50,9.80,99.95
230209.00,217103.00,62.50,9.80,99.95
230112.00,217290.00,62.50,9.80,99.95
230199.00,217171.00,62.50,9.80,99.95
230357.00,217162.00,62.50,9.80,99.95
230251.00,217328.00,62.50,9.80,99.95
230365.00,217235.00,62.50,9.80,99.95
230475.00,217200.00,62.50,9.80,0.00
230277.00,217344.00,62.50,9.80,96.05
230110.00,217167.00,62.50,9.80,96.05
230023.00,217074.00,62.50,9.80,96.05
229716.00,217153.00,62.50,9.80,96.05
229583.00,216931.00,62.50,9.80,96.05
229521.00,216898.00,62.50,9.80,96.05
229310.00,216988.00,62.50,9.80,96.05
229199.00,216858.00,62.50,9.80,96.05
229206.00,216765.00,62.50,9.80,96.05
228950.00,216896.00,62.50,9.80,96.05
228923.00,216748.00,62.50,9.80,96.05
228902.00,216718.00,62.50,9.80,96.05
228894.00,216748.00,62.50,9.80,96.05
228931.00,216708.00,62.50,9.80,96.05
228938.00,216759.00,62.50,9.80,96.05
228946.00,216719.00,62.50,9.80,96.05
228938.00,216762.00,62.50,9.80,96.05
228904.00,216709.00,62.50,9.80,96.05
228907.00,216724.00,62.50,9.80,96.05
228943.00,216710.00,62.50,9.80,96.05
228901.00,216755.00,62.50,9.80,96.05
229083.00,216634.00,62.50,9.80,96.05
229004.00,216848.00,62.50,9.80,96.05
229006.00,216687.00,62.50,9.80,96.05
229046.00,216752.00,62.50,9.80,96.05
229145.00,216671.00,62.50,9.80,96.05
229150.00,216776.00,62.50,9.80,96.05
229186.00,216775.00,62.50,9.80,96.05
229318.00,216779.00,62.50,9.80,96.05
229253.00,216930.00,0.00,9.80,96.05
229307.00,216781.00,62.50,9.80,96.05
229292.00,216792.00,62.50,9.80,96.05
229373.00,216954.00,62.50,9.80,96.05
229451.00,216781.00,62.50,9.80,96.05
229432.00,216860.00,62.50,9.80,96.05
229506.00,217017.00,62.50,9.80,96.05
229566.00,216836.00,62.50,9.80,96.05
229746.00,216884.00,62.50,9.80,96.05
229643.00,217069.00,62.50,9.80,96.05
229714.00,216916.00,62.50,9.80,96.05
229870.00,216956.00,62.50,9.80,96.05
229769.00,217118.00,62.50,9.80,96.05
229834.00,216996.00,62.50,9.80,96.05
229948.00,216980.00,62.50,9.80,96.05
229938.00,217128.00,62.50,9.80,96.05
229954.00,217013.00,62.50,9.80,96.05
230081.00,217064.00,62.50,9.80,0.00
230042.00,217173.00,62.50,9.80,99.68
229987.00,217060.00,62.50,9.80,99.68
229952.00,216995.00,62.50,9.80,99.68
229598.00,217086.00,62.50,9.80,99.68
229437.00,216878.00,62.50,9.80,99.68
229318.00,216855.00,62.50,9.80,99.68
229108.00,216877.00,62.50,9.80,99.68
228896.00,216716.00,62.50,9.80,99.68
228830.00,216692.00,62.50,9.80,99.68
228689.00,216698.00,62.50,9.80,99.68
228550.00,216579.00,62.50,9.80,99.68
228523.00,216549.00,62.50,9.80,99.68
228377.00,216627.00,62.50,9.80,99.68
228424.00,216441.00,62.50,9.80,99.68
228392.00,216623.00,62.50,9.80,99.68
228496.00,216396.00,62.50,9.80,99.68
228414.00,216620.00,62.50,9.80,99.68
228474.00,216439.00,62.50,9.80,99.68
228395.00,216625.00,62.50,9.80,99.68
228423.00,216448.00,62.50,9.80,99.68
228375.00,216619.00,62.50,9.80,99.68
228382.00,216469.00,62.50,9.80,99.68
228354.00,216553.00,62.50,9.80,99.68
228477.00,216459.00,62.50,9.80,99.68
228475.00,216572.00,62.50,9.80,99.68
228504.00,216551.00,62.50,9.80,99.68
228535.00,216573.00,62.50,9.80,99.68
228578.00,216663.00,62.50,9.80,99.68
228711.00,216517.00,62.50,9.80,99.68
228654.00,216731.00,62.50,9.80,99.68
228758.00,216569.00,0.00,9.80,99.68
228757.00,216655.00,60.00,9.80,99.68
228833.00,216746.00,60.00,9.80,99.68
228845.00,216654.00,60.00,9.80,99.68
228855.00,216779.00,60.00,9.80,99.68
228902.00,216745.00,60.00,9.80,99.68
229034.00,216744.00,60.00,9.80,99.68
229045.00,216851.00,60.00,9.80,99.68
229106.00,216789.00,60.00,9.80,99.68
229244.00,216771.00,60.00,9.80,99.68
229173.00,216956.00,60.00,9.80,99.68
229275.00,216872.00,60.00,9.80,99.68
229422.00,216830.00,60.00,9.80,99.68
229371.00,216998.00,60.00,9.80,99.68
229415.00,216948.00,60.00,9.80,99.68
229530.00,216952.00,60.00,9.80,99.68
229565.00,217043.00,60.00,9.80,99.68
229546.00,216997.00,60.00,9.80,99.68
229684.00,217037.00,60.00,9.80,99.68
229733.00,217083.00,60.00,9.80,0.00
229709.00,217018.00,60.00,9.80,98.75
229732.00,217062.00,60.00,9.80,98.75
229615.00,217073.00,60.00,9.80,98.75
229433.00,216945.00,60.00,9.80,98.75
229174.00,216833.00,60.00,9.80,98.75
229040.00,216844.00,60.00,9.80,98.75
228911.00,216753.00,60.00,9.80,98.75
228717.00,216662.00,60.00,9.80,98.75
228604.00,216682.00,60.00,9.80,98.75
228515.00,216608.00,60.00,9.80,98.75
228343.00,216557.00,60.00,9.80,98.75
228311.00,216583.00,60.00,9.80,98.75
228283.00,216496.00,60.00,9.80,98.75
228337.00,216430.00,60.00,9.80,98.75
228320.00,216653.00,60.00,9.80,98.75
228439.00,216455.00,60.00,9.80,98.75
228382.00,216726.00,60.00,0.00,98.75
228453.00,216477.00,60.00,9.58,98.75
228390.00,216690.00,60.00,9.58,98.75
228467.00,216514.00,60.00,9.58,98.75
228419.00,216718.00,60.00,9.58,98.75
228513.00,216540.00,60.00,9.58,98.75
228459.00,216728.00,60.00,9.58,98.75
228454.00,216610.00,60.00,9.58,98.75
228547.00,216675.00,60.00,9.58,98.75
228619.00,216607.00,60.00,9.58,98.75
228648.00,216712.00,60.00,9.58,98.75
228666.00,216713.00,60.00,9.58,98.75
228697.00,216688.00,60.00,9.58,98.75
228805.00,216863.00,60.00,9.58,98.75
228825.00,216703.00,0.00,9.58,98.75
228919.00,216802.00,58.82,9.58,98.75
228939.00,216776.00,58.82,9.58,98.75
229006.00,216788.00,58.82,9.58,98.75
229032.00,216957.00,58.82,9.58,98.75
229101.00,216767.00,58.82,9.58,98.75
229095.00,216829.00,58.82,9.58,98.75
229180.00,216993.00,58.82,9.58,98.75
229275.00,216843.00,58.82,9.58,98.75
229293.00,216912.00,58.82,9.58,98.75
229349.00,217062.00,58.82,9.58,98.75
229432.00,216961.00,58.82,9.58,98.75
229623.00,216973.00,58.82,9.58,98.75
229513.00,217150.00,58.82,9.58,98.75
229595.00,217003.00,58.82,9.58,98.75
229749.00,217000.00,58.82,9.58,98.75
229670.00,217201.00,58.82,9.58,98.75
229793.00,217101.00,58.82,9.58,98.75
229953.00,217082.00,58.82,9.58,98.75
229855.00,217253.00,58.82,9.58,98.75
229973.00,217174.00,58.82,9.58,98.75
230060.00,217161.00,58.82,9.58,0.00
229967.00,217285.00,58.82,9.58,99.05
229745.00,217160.00,58.82,9.58,99.05
229616.00,217105.00,58.82,9.58,99.05
229414.00,217074.00,58.82,9.58,99.05
229152.00,216912.00,58.82,9.58,99.05
229085.00,216916.00,58.82,9.58,99.05
228926.00,216926.00,58.82,9.58,99.05
228750.00,216766.00,58.82,9.58,99.05
228696.00,216759.00,58.82,9.58,99.05
228553.00,216761.00,58.82,9.58,99.05
228377.00,216638.00,58.82,9.58,99.05
228397.00,216559.00,58.82,9.58,99.05
228373.00,216824.00,58.82,9.58,99.05
228446.00,216605.00,58.82,9.58,99.05
228465.00,216828.00,58.82,9.58,99.05
228513.00,216609.00,58.82,9.58,99.05
228474.00,216868.00,58.82,9.58,99.05
228534.00,216628.00,58.82,9.58,99.05
228552.00,216880.00,58.82,9.58,99.05
228591.00,216630.00,58.82,9.58,99.05
228624.00,216833.00,58.82,9.58,99.05
228643.00,216695.00,58.82,9.58,99.05
228653.00,216825.00,58.82,9.58,99.05
228737.00,216775.00,58.82,9.58,99.05
228775.00,216804.00,58.82,9.58,99.05
228806.00,216763.00,58.82,9.58,99.05
228816.00,216813.00,58.82,9.58,99.05
228912.00,216966.00,58.82,9.58,99.05
229011.00,216817.00,58.82,9.58,99.05
228963.00,216958.00,0.00,9.58,99.05
229061.00,216867.00,60.00,9.58,99.05
229215.00,216884.00,60.00,9.58,99.05
229131.00,217048.00,60.00,9.58,99.05
229205.00,216870.00,60.00,9.58,99.05
229242.00,216923.00,60.00,9.58,99.05
229304.00,217111.00,60.00,9.58,99.05
